OBJECTID,Tract_1,CIscore,HazScore,HealthScore,SVscore,CCVscore,Shape__Area,Shape__Length
761,6037403200,14,5,3,3,3,3528654.09765625,8580.22909322348
762,6037402703,11,2,4,3,2,1573257.171875,6940.29552271766
763,6037402600,14,3,4,4,3,3333864.83203125,8342.40681003384
764,6037402501,16,4,4,5,3,1484751.51953125,5891.10815573478
765,6037407101,10,1,3,3,3,1652177.0703125,5610.45090431009
766,6037189701,7,2,3,1,1,6361545.1953125,14285.1486079584
767,6037189600,14,5,5,2,2,1584699.71875,7370.95170684568
768,6037189500,14,4,5,1,4,866626.8515625,4740.47385712588
769,6037701202,6,2,2,1,1,595045.78125,3365.93013449399
770,6037700902,11,3,4,2,2,1389163.8671875,4760.25637301141
771,6037311600,10,3,3,1,3,4117997.0546875,9152.23936363779
772,6037700901,9,3,4,1,1,1546612.26171875,6968.9603666699
773,6037189400,8,1,4,1,2,2115438.67578125,10477.5370532197
774,6037702501,8,3,3,1,1,1968746.078125,5906.36932557818
775,6037106112,6,1,1,2,2,4740837.40625,18363.7527701095
776,6037555212,15,4,2,5,4,1011477.17578125,4321.07296685328
777,6037555103,9,2,1,3,3,1430037.33984375,4904.52534939022
778,6037555102,13,3,1,5,4,2151801.42578125,6114.21095516168
779,6037541400,13,3,3,5,2,1388501.58203125,5677.49955203349
780,6037555001,12,2,4,3,3,1873369.55859375,6401.18404031841
781,6037570100,13,4,3,2,4,1680936.8125,5399.7118816172
782,6037570002,6,1,2,1,2,1129437.4765625,4268.88999156739
783,6037650603,6,2,2,1,1,1854475.7578125,5924.38192277768
784,6037650702,5,1,2,1,1,2031561.05078125,6041.54418185725
785,6037650800,7,2,2,2,1,1876636.23046875,5775.63045658948
786,6037650701,6,1,2,2,1,2916660.99609375,6853.42314480453
787,6037670001,9,4,2,2,1,1357834.73828125,6078.56067053265
788,6037651221,9,2,2,2,3,1012349.6171875,4177.05979620974
789,6037650902,8,3,2,2,1,2879217.921875,7529.47951242678
790,6037651201,4,1,1,1,1,2539057.05078125,6354.08313698471
791,6037294301,10,3,3,3,1,1036021.7890625,4285.29755872482
792,6037293307,14,5,2,4,3,493484.046875,3361.72073020617
793,6037278102,6,2,2,1,1,2634987.87890625,10291.050889593
794,6037980009,0,1,2,0,1,31122954.0898438,29728.4758204498
795,6037980008,15,3,2,5,5,4943911.2734375,12477.2603875765
796,6037980007,0,0,1,0,4,3918352,8834.14486527656
797,6037980006,0,0,2,0,3,4895517.5546875,14092.3378133463
798,6037980005,0,0,4,0,1,5892385.87109375,11617.3184129005
799,6037194402,11,3,4,1,3,861027.5859375,5307.32397521802
800,6037194401,14,4,4,2,4,677766.765625,3585.28799942421
801,6037194102,6,1,3,1,1,5121609.87890625,13887.0519708788
802,6037192002,9,3,3,1,2,1253585.1171875,4711.68022025249
803,6037191902,14,5,4,1,4,1061426.22265625,4258.44200666131
804,6037191901,15,4,5,2,4,1128282.37890625,4366.35692432717
805,6037191302,18,5,5,3,5,617805.734375,3447.75619277987
806,6037191301,18,5,5,3,5,396886.2265625,3142.17790091137
807,6037190802,18,5,5,3,5,711561.390625,3409.91679171875
808,6037189905,14,3,5,2,4,377762.84375,2572.06096525815
809,6037189202,9,2,3,1,3,1508040.98828125,6366.08243729328
810,6037189102,11,2,4,1,4,914190.69140625,4421.12407637829
811,6037189101,14,3,4,2,5,577913.40625,3043.45175543129
812,6037188202,7,1,3,1,2,1108671.78515625,4325.83091679088
813,6037270200,14,5,5,2,2,1107080.9453125,5265.71330963143
814,6037270300,13,5,4,2,2,1430728.01171875,5022.93733425607
815,6037271100,10,4,4,1,1,1171571.265625,5200.88784143312
816,6037141500,6,2,2,1,1,4878625.609375,11636.7925206425
817,6037271400,8,3,3,1,1,1672856.015625,5335.00086596383
818,6037271600,10,3,4,2,1,1307153.546875,4615.68192377218
819,6037271500,8,3,3,1,1,1326816.5625,4802.25988709727
820,6037271300,11,4,4,2,1,2131409.30078125,7101.30372330355
821,6037271200,12,5,4,1,2,773260.65625,5017.75555131407
822,6037271701,9,3,4,1,1,1459224.4453125,5080.95387176557
823,6037271801,11,3,4,2,2,705820.3984375,3544.8179851049
824,6037271702,11,4,4,2,1,1030814.81640625,4911.47107004353
825,6037464200,8,1,2,1,4,5135363.96484375,10432.4695817409
826,6037139502,8,2,2,2,2,1528670.67578125,6246.95428464414
827,6037530204,16,3,5,5,3,974406.125,4270.11084818706
828,6037530004,12,1,5,4,2,1904508.23046875,9509.20489915295
829,6037530202,15,3,5,3,4,2628191.18359375,7769.45123338538
830,6037530203,15,2,5,4,4,1080361.484375,5288.23265249279
831,6037432601,13,2,3,4,4,2065483.8203125,6377.00457779818
832,6037431300,9,4,1,2,2,1196515.05078125,5281.03374207936
833,6037432802,19,5,4,5,5,865323.01171875,4333.50638059787
834,6037433401,17,4,4,5,4,739405.22265625,3738.30101801863
835,6037433901,17,4,4,5,4,1053925.87890625,4140.72407873122
836,6037134303,9,2,2,2,3,2300018.1953125,6307.24409731382
837,6037433602,18,4,4,5,5,1409990.87109375,5983.26158372544
838,6037434001,18,4,5,5,4,1610191.9609375,6049.68480747339
839,6037433403,18,5,3,5,5,1032995.6484375,4390.36861083195
840,6037133000,10,2,3,3,2,1470810.078125,5224.88817295126
841,6037132700,13,5,1,3,4,1932131.34375,5783.85767747461
842,6037131900,6,1,2,1,2,1932178.79296875,5875.75934550972
843,6037133100,14,5,1,3,5,2221758.93359375,6248.79090941092
844,6037134101,8,3,1,3,1,1562298.95703125,5157.20812316661
845,6037134103,8,2,1,3,2,1535946.109375,6423.86402143085
846,6037131300,8,1,1,3,3,1639007.94921875,5316.33878493421
847,6037134201,11,5,1,3,2,2153558.71875,6068.61106173656
848,6037131100,9,4,1,1,3,1614707.5234375,5234.00707198565
849,6037131010,11,3,1,3,4,1559425.07421875,5378.92200784011
850,6037134304,11,2,2,3,4,1496048.35546875,5011.35192310743
851,6037134302,6,1,1,1,3,1922506.2890625,5631.92249546185
852,6037134305,14,4,1,4,5,523509.8125,2986.48306409362
853,6037134422,6,1,2,1,2,3446871.65234375,9438.49018883239
854,6037703002,10,3,4,1,2,4740245.8359375,10298.0564568724
855,6037231300,14,2,4,5,3,959626.88671875,3918.56206454393
856,6037228710,17,3,5,4,5,591194.703125,3410.85958854846
857,6037228720,17,3,5,5,4,590194.62890625,3406.42599730585
858,6037229100,19,5,5,5,4,692684.84375,3366.81099163459
859,6037229300,16,3,4,5,4,733563.65234375,3512.77800412924
860,6037229410,18,4,5,5,4,791095.58203125,3572.23419999583
861,6037229420,18,4,5,5,4,852653.80078125,3698.98550193854
862,6037231800,19,5,5,5,4,759395.01953125,3510.57478582559
863,6037231100,19,5,5,5,4,1295255.9765625,4753.33566743567
864,6037231900,18,4,5,5,4,823674.078125,3714.65473609404
